date,row_type,row_count,col_type,col_count,ExcessReturn
2017-07,Inv,1,Size,1,0.00727830395106971
2017-08,Inv,1,Size,1,0.021911990556293344
2017-09,Inv,1,Size,1,0.0047199297380603805
2017-10,Inv,1,Size,1,-0.03521395756100544
2017-11,Inv,1,Size,1,-0.05969683417414682
2017-12,Inv,1,Size,1,-0.020395398618457662
2018-01,Inv,1,Size,1,-0.054469429315100064
2017-07,Inv,2,Size,1,-0.0029799996533965054
2017-08,Inv,2,Size,1,0.02472576247330714
2017-09,Inv,2,Size,1,0.009158445753201818
2017-10,Inv,2,Size,1,-0.026308887595055345
2017-11,Inv,2,Size,1,-0.08426308700612599
2017-12,Inv,2,Size,1,-0.032183768921655254
2018-01,Inv,2,Size,1,-0.03676233399971163
2017-07,Inv,3,Size,1,-0.017963898419087746
2017-08,Inv,3,Size,1,0.0337169032454706
2017-09,Inv,3,Size,1,0.023230912700974007
2017-10,Inv,3,Size,1,-0.015562585891923926
2017-11,Inv,3,Size,1,-0.07907109347138522
2017-12,Inv,3,Size,1,-0.017257116842470832
2018-01,Inv,3,Size,1,-0.03322895681366942
2017-07,Inv,1,Size,2,0.032877330039487236
2017-08,Inv,1,Size,2,0.03477021241011425
2017-09,Inv,1,Size,2,0.008358868741823261
2017-10,Inv,1,Size,2,-0.039495611801759416
2017-11,Inv,1,Size,2,-0.06084443147585092
2017-12,Inv,1,Size,2,-0.029746906378786957
2018-01,Inv,1,Size,2,-0.024906546192988422
2017-07,Inv,2,Size,2,0.030934721132311684
2017-08,Inv,2,Size,2,0.02648304584109916
2017-09,Inv,2,Size,2,0.01532354521790184
2017-10,Inv,2,Size,2,-0.020248002625046852
2017-11,Inv,2,Size,2,-0.06306065955396002
2017-12,Inv,2,Size,2,-0.02030083953186529
2018-01,Inv,2,Size,2,-0.03458830527040563
2017-07,Inv,3,Size,2,-0.006685443093858724
2017-08,Inv,3,Size,2,0.030347386044169488
2017-09,Inv,3,Size,2,0.011933692059150678
2017-10,Inv,3,Size,2,-0.020798118066544195
2017-11,Inv,3,Size,2,-0.06320357954014864
2017-12,Inv,3,Size,2,-0.009941820509468537
2018-01,Inv,3,Size,2,-0.025494325245899452
2017-07,Inv,1,Size,3,0.058464668551733455
2017-08,Inv,1,Size,3,0.023201529361076154
2017-09,Inv,1,Size,3,0.0012728499134224075
2017-10,Inv,1,Size,3,-0.011341368114611509
2017-11,Inv,1,Size,3,-0.0064413839461276235
2017-12,Inv,1,Size,3,-0.01623211161026307
2018-01,Inv,1,Size,3,0.06828976289061776
2017-07,Inv,2,Size,3,0.049097630865207506
2017-08,Inv,2,Size,3,0.027120934762789352
2017-09,Inv,2,Size,3,-0.00384504024984279
2017-10,Inv,2,Size,3,0.026745606188442565
2017-11,Inv,2,Size,3,-0.0028079831387828455
2017-12,Inv,2,Size,3,0.01080621426485395
2018-01,Inv,2,Size,3,0.0726532481074327
2017-07,Inv,3,Size,3,0.01766087020421856
2017-08,Inv,3,Size,3,0.008113940790127934
2017-09,Inv,3,Size,3,0.02448297868658643
2017-10,Inv,3,Size,3,0.06380412425872431
2017-11,Inv,3,Size,3,-0.027138985245614373
2017-12,Inv,3,Size,3,0.008211152939268714
2018-01,Inv,3,Size,3,0.04446275997132758
