Size,BM,Const_p,Mktrf_p,SMB_p,HML_p,RMW_p,CMA_p
1.0,1.0,0.012294224549354877,0.024105923846924778,0.02510298494284058,0.00013496894322664716,0.13817496603340368,0.0010854793141571789
1.0,2.0,0.5218436589185185,0.0034226218551912306,0.0010056012850318094,5.212675705854564e-08,0.10162549513944696,0.0004096493715201284
1.0,3.0,0.00020170483834282095,0.23787764607749218,0.9586628092414382,7.222534338491322e-07,0.041484898970186215,0.004130044523468618
1.0,4.0,0.012505053329741604,0.12335755435340781,0.4376031988790464,4.3440039670977025e-05,0.007390395125077653,0.5042891973987407
1.0,5.0,0.003272373471241331,0.7288019933535086,7.1653498358593576e-06,9.409876729869983e-08,0.5749681794246941,9.609839780996036e-05
2.0,1.0,0.6744050428369877,0.44666675499431363,0.44069778360339296,4.1928485811621845e-07,0.9954190211031801,1.2870747905384634e-05
2.0,2.0,0.6666023417368836,0.6939513109118611,0.7427205331020177,2.862363066267729e-06,0.37355561222636546,0.000243664098176116
2.0,3.0,0.009144086547600117,0.09799039221024926,0.4658758873835447,3.1771837269697846e-05,0.03349280596733496,0.021959288551205398
2.0,4.0,0.2517018434777323,0.011984799106446883,0.4765642331088209,4.828089225532348e-05,0.0006166474737561692,0.23899771562391972
2.0,5.0,0.02838097860700162,0.583337509123937,0.3727517468582624,0.019867712323839107,0.835348556128961,0.9225631414570341
3.0,1.0,0.6506240325163617,0.09257675449578383,0.1009944347607842,5.5782381351491504e-08,0.01951295369001737,3.0143323234369705e-06
3.0,2.0,0.3166964562663292,0.5279774223126723,0.4513887307515215,2.726767527496225e-06,0.19942005007003272,0.005192775747338676
3.0,3.0,0.31198524183078397,0.06380710182730513,0.5162615530427719,1.4940926425662051e-06,0.020690378589399427,0.0026587310235500075
3.0,4.0,0.3049884303132479,0.06675198073918795,0.4575080891751261,0.00020919471150677532,0.012695462072495318,0.2051646419291249
3.0,5.0,0.5108730397920775,0.5296251415396529,0.2283362960892188,4.8130151598275174e-05,0.33797656593696057,0.09726156605329153
4.0,1.0,0.48787945877258954,0.4348693480728921,0.8877537024829596,2.7365174199503344e-08,0.5443145554832461,2.3645247151360635e-06
4.0,2.0,0.13407901793259816,0.48360346136591137,0.8451432281413527,3.5710279578626576e-07,0.6097827933544785,3.077046123859941e-05
4.0,3.0,0.5422061935083005,0.9665318956631379,0.8865235673194648,1.1855628632007254e-06,0.3496571704733208,0.0023022663114329444
4.0,4.0,0.46746052596631904,0.17953437856120377,0.31415520796967183,9.781452335940393e-05,0.07535440406490043,0.13871707093234448
4.0,5.0,0.7945704890447051,0.6144666362419602,0.9149801950835412,0.0003244253077059268,0.8013777263164867,0.5279927296037055
5.0,1.0,0.12191983426521956,0.8178686919805435,0.5762821487701388,6.930431389975281e-06,0.7067780410737652,0.00015783121648400584
5.0,2.0,0.07885897700647133,0.4990923019113429,0.8413562888763298,0.00012946478632394826,0.08813642664025943,0.016362791396854124
5.0,3.0,0.661110977274455,0.28065246502341684,0.6337899717005665,2.5729828930365985e-06,0.33637634552610696,0.014686557879173189
5.0,4.0,0.7571479560897096,0.09037650876664813,0.011961069633396063,0.00018832643631822843,0.0013653512771711399,0.3693442081212739
5.0,5.0,0.24494603955276006,0.00992429411700063,0.09006511276860431,3.42736479267269e-10,0.015527221934885534,0.007366378026492503
